movie_name,movie_rating,movie_review,movie_label
The Crimson Shadow,8,An absolute masterpiece! The acting and story were brilliant.,good
Solaris Gate,2,I was really disappointed. It did not live up to the hype at all.,bad
Ocean's Enigma,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Whispers in the Void,10,Loved every minute of it. A must-watch film.,good
Solaris Gate,9,Loved every minute of it. A must-watch film.,good
The Last Alchemist,10,Loved every minute of it. A must-watch film.,good
Cybernetic Dawn,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Project Gemini,3,A complete waste of time. The plot made no sense.,bad
Solaris Gate,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
The Crimson Shadow,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Forgotten Dynasty,7,It's a solid 6/10. Good for a casual watch.,moderate
Whispers in the Void,9,Loved every minute of it. A must-watch film.,good
Cybernetic Dawn,2,I was really disappointed. It did not live up to the hype at all.,bad
Echoes of Neptune,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Whispers in the Void,7,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Quantum Leap,8,Fantastic cinematography and a deeply moving plot.,good
Quantum Leap,3,A complete waste of time. The plot made no sense.,bad
Cybernetic Dawn,7,It's a solid 6/10. Good for a casual watch.,moderate
The Crimson Shadow,1,I was really disappointed. It did not live up to the hype at all.,bad
Project Gemini,8,Loved every minute of it. A must-watch film.,good
Ocean's Enigma,8,An absolute masterpiece! The acting and story were brilliant.,good
Echoes of Neptune,2,Avoid this movie. Easily one of the worst I've ever seen.,bad
Project Gemini,6,It was an okay movie. Had some good parts but was slow overall.,moderate
The Crimson Shadow,10,Fantastic cinematography and a deeply moving plot.,good
The Last Alchemist,8,One of the best movies I've seen this year. Highly recommended!,good
Echoes of Neptune,3,I was really disappointed. It did not live up to the hype at all.,bad
Forgotten Dynasty,1,The story was incoherent and the characters were poorly written.,bad
Echoes of Neptune,2,Terrible acting and a horrible script. I wanted to walk out.,bad
Whispers in the Void,10,Fantastic cinematography and a deeply moving plot.,good
Quantum Leap,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Cybernetic Dawn,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Ocean's Enigma,9,Fantastic cinematography and a deeply moving plot.,good
Echoes of Neptune,1,A complete waste of time. The plot made no sense.,bad
Echoes of Neptune,9,An absolute masterpiece! The acting and story were brilliant.,good
Ocean's Enigma,9,Fantastic cinematography and a deeply moving plot.,good
Forgotten Dynasty,9,An absolute masterpiece! The acting and story were brilliant.,good
Solaris Gate,9,Fantastic cinematography and a deeply moving plot.,good
Whispers in the Void,6,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Echoes of Neptune,3,A complete waste of time. The plot made no sense.,bad
Whispers in the Void,9,Fantastic cinematography and a deeply moving plot.,good
Ocean's Enigma,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Cybernetic Dawn,7,An average film. The plot was predictable but the acting was fine.,moderate
Project Gemini,2,The story was incoherent and the characters were poorly written.,bad
Forgotten Dynasty,3,Avoid this movie. Easily one of the worst I've ever seen.,bad
Starlight Rebellion,5,It's a solid 6/10. Good for a casual watch.,moderate
The Last Alchemist,9,Loved every minute of it. A must-watch film.,good
Cybernetic Dawn,10,Loved every minute of it. A must-watch film.,good
Echoes of Neptune,3,Avoid this movie. Easily one of the worst I've ever seen.,bad
Forgotten Dynasty,4,It was an okay movie. Had some good parts but was slow overall.,moderate
The Crimson Shadow,6,It was an okay movie. Had some good parts but was slow overall.,moderate
Forgotten Dynasty,3,I was really disappointed. It did not live up to the hype at all.,bad
Ocean's Enigma,8,Fantastic cinematography and a deeply moving plot.,good
Midnight Runner,7,An average film. The plot was predictable but the acting was fine.,moderate
The Crimson Shadow,9,The performances were outstanding. Truly breathtaking.,good
Solaris Gate,3,A complete waste of time. The plot made no sense.,bad
Whispers in the Void,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Last Alchemist,4,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Solaris Gate,1,Terrible acting and a horrible script. I wanted to walk out.,bad
Project Gemini,7,It's a solid 6/10. Good for a casual watch.,moderate
Midnight Runner,6,It was an okay movie. Had some good parts but was slow overall.,moderate
Ocean's Enigma,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Crimson Shadow,9,The performances were outstanding. Truly breathtaking.,good
Echoes of Neptune,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Echoes of Neptune,6,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Solaris Gate,1,I was really disappointed. It did not live up to the hype at all.,bad
Ocean's Enigma,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Midnight Runner,9,The performances were outstanding. Truly breathtaking.,good
Echoes of Neptune,7,"Decent, but not memorable. You won't miss much if you skip it.",moderate
Solaris Gate,8,Loved every minute of it. A must-watch film.,good
Quantum Leap,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Cybernetic Dawn,9,The performances were outstanding. Truly breathtaking.,good
Whispers in the Void,5,"I have mixed feelings. Some scenes were great, others were boring.",moderate
Starlight Rebellion,7,It's a solid 6/10. Good for a casual watch.,moderate
Solaris Gate,6,It's a solid 6/10. Good for a casual watch.,moderate
The Last Alchemist,3,I was really disappointed. It did not live up to the hype at all.,bad
Quantum Leap,9,One of the best movies I've seen this year. Highly recommended!,good
Cybernetic Dawn,7,"Decent, but not memorable. You won't miss much if you skip it.",moderate
The Last Alchemist,6,It's a solid 6/10. Good for a casual watch.,moderate
Forgotten Dynasty,4,It's a solid 6/10. Good for a casual watch.,moderate
Echoes of Neptune,2,A complete waste of time. The plot made no sense.,bad
The Last Alchemist,7,It was an okay movie. Had some good parts but was slow overall.,moderate
Whispers in the Void,3,A complete waste of time. The plot made no sense.,bad
Starlight Rebellion,4,It was an okay movie. Had some good parts but was slow overall.,moderate
Starlight Rebellion,6,It's a solid 6/10. Good for a casual watch.,moderate
The Last Alchemist,10,One of the best movies I've seen this year. Highly recommended!,good
The Crimson Shadow,3,I was really disappointed. It did not live up to the hype at all.,bad
Forgotten Dynasty,8,Fantastic cinematography and a deeply moving plot.,good
The Last Alchemist,5,It was an okay movie. Had some good parts but was slow overall.,moderate
The Last Alchemist,1,Avoid this movie. Easily one of the worst I've ever seen.,bad
Midnight Runner,3,I was really disappointed. It did not live up to the hype at all.,bad
Cybernetic Dawn,3,A complete waste of time. The plot made no sense.,bad
Cybernetic Dawn,2,I was really disappointed. It did not live up to the hype at all.,bad
Echoes of Neptune,1,A complete waste of time. The plot made no sense.,bad
Echoes of Neptune,10,An absolute masterpiece! The acting and story were brilliant.,good
Forgotten Dynasty,5,An average film. The plot was predictable but the acting was fine.,moderate
The Last Alchemist,3,I was really disappointed. It did not live up to the hype at all.,bad
Echoes of Neptune,10,One of the best movies I've seen this year. Highly recommended!,good
Whispers in the Void,3,The story was incoherent and the characters were poorly written.,bad
Midnight Runner,1,The story was incoherent and the characters were poorly written.,bad
Solaris Gate,1,A complete waste of time. The plot made no sense.,bad
The Crimson Shadow,2,I was really disappointed. It did not live up to the hype at all.,bad
Cybernetic Dawn,5,It was an okay movie. Had some good parts but was slow overall.,moderate
Starlight Rebellion,9,Fantastic cinematography and a deeply moving plot.,good
Cybernetic Dawn,1,I was really disappointed. It did not live up to the hype at all.,bad
Whispers in the Void,10,The performances were outstanding. Truly breathtaking.,good
Project Gemini,7,It was an okay movie. Had some good parts but was slow overall.,moderate
